step,charts/global_step,charts/mean_ep_length,charts/mean_reward,charts/progress_pct,charts/rollout_time,charts/steps_per_sec,charts/update_time,train/actor_loss,train/approx_kl,train/clip_epsilon,train/clip_fraction,train/critic_loss,train/early_stopped,train/entropy,train/entropy_coef,train/learning_rate,train/total_loss
2048,2048.000000,200.000000,-1261.271729,2.048000,0.395881,1678.495609,0.824223,-0.000796,0.001685,0.200000,0.009668,513.092464,0.000000,0.920706,0.000000,0.000300,256.545436
12288,12288.000000,200.000000,-1204.803589,12.288000,0.510362,1613.282214,1.039742,-0.000307,0.001184,0.179167,0.006689,286.661232,0.000000,0.863410,0.000000,0.000269,143.330309
22528,22528.000000,200.000000,-1134.891113,22.528000,0.515430,1502.167723,0.849018,-0.002228,0.001612,0.158333,0.024121,231.126918,0.000000,0.894718,0.000000,0.000237,115.561231
32768,32768.000000,200.000000,-1104.511841,32.768000,0.434133,1481.387502,0.860081,-0.001165,0.001116,0.137500,0.018750,215.380164,0.000000,0.859396,0.000000,0.000206,107.688918
43008,43008.000000,200.000000,-1168.266479,43.008000,0.461903,1447.601754,1.157760,-0.000320,0.000385,0.116667,0.004590,291.720179,0.000000,0.846425,0.000000,0.000175,145.859769
53248,53248.000000,200.000000,-1172.417480,53.248000,0.417981,1465.625690,0.987885,-0.000732,0.000422,0.095833,0.012500,273.301145,0.000000,0.854927,0.000000,0.000144,136.649840
63488,63488.000000,200.000000,-1144.005371,63.488000,0.449844,1465.177192,0.863197,-0.001198,0.000341,0.075000,0.023438,263.746757,0.000000,0.848198,0.000000,0.000112,131.872181
73728,73728.000000,200.000000,-1180.633179,73.728000,0.411492,1481.424730,0.905636,-0.000420,0.000169,0.054167,0.018555,286.211721,0.000000,0.830120,0.000000,0.000081,143.105440
83968,83968.000000,200.000000,-1189.550659,83.968000,0.454758,1482.871875,0.886530,-0.000080,0.000040,0.033333,0.008545,237.809092,0.000000,0.826200,0.000000,0.000050,118.904466
94208,94208.000000,200.000000,-1186.830811,94.208000,0.728770,1462.712203,1.239289,-0.000143,0.000008,0.012500,0.021338,299.182705,0.000000,0.828133,0.000000,0.000019,149.591209
